y	x	label	showSelected1
2.69897000433602	1	Iter: 1  width=11	1
2.69897000433602	1	Iter: 2  width=5.5	2
2.69897000433602	1	Iter: 3  width=2.75	3
2.69897000433602	1	Iter: 4  width=1.375	4
2.69897000433602	1	Iter: 5  width=0.6875	5
2.69897000433602	1	Iter: 6  width=0.3438	6
2.69897000433602	1	Iter: 7  width=0.1719	7
2.69897000433602	1	Iter: 8  width=0.0859	8
2.69897000433602	1	Iter: 9  width=0.043	9
2.69897000433602	1	Iter: 10  width=0.0215	10
2.69897000433602	1	Iter: 11  width=0.0107	11
2.69897000433602	1	Iter: 12  width=0.0054	12
